prefecture,name,yomi,lastname,firstname,last_kana,first_kana,age,party,recommended,status,previous,n_cand,win,votes,vshare,magnitude
長崎,高谷 喜久雄,たかや きくお,高谷,喜久雄,たかや,きくお,63,諸派,NA,新,0,6,0,8205,1.42,1
長崎,深堀 浩,ふかほり ひろし,深堀,浩,ふかほり,ひろし,59,国民,NA,新,0,6,0,186747,32.37,1
長崎,神谷 幸太郎,かみや こうたろう,神谷,幸太郎,かみや,こうたろう,49,諸派,NA,新,0,6,0,6076,1.05,1
熊本,立花 勝樹,たちばな まさき,立花,勝樹,たちばな,まさき,57,諸派,NA,新,0,4,0,17708,2.18,1
熊本,馬場 成志,ばば せいし,馬場,成志,ばば,せいし,60,自民,公明,現,2,4,1,328373,40.36,1
熊本,山口 誠太郎,やまぐち せいたろう,山口,誠太郎,やまぐち,せいたろう,36,参政,NA,新,0,4,0,200221,24.61,1
熊本,鎌田 聡,かまた さとる,鎌田,聡,かまた,さとる,60,立憲,社民,新,0,4,0,267273,32.85,1
大分,白坂 亜紀,しらさか あき,白坂,亜紀,しらさか,あき,59,自民,公明,現,1,5,0,193277,36.49,1
大分,野中 しんすけ,のなか しんすけ,野中,しんすけ,のなか,しんすけ,38,参政,NA,新,0,5,0,106687,20.14,1
大分,安倍 正雄,あべ まさお,安倍,正雄,あべ,まさお,46,諸派,NA,新,0,5,0,13104,2.47,1
大分,二宮 大造,にのみや たいぞう,二宮,大造,にのみや,たいぞう,54,諸派,NA,新,0,5,0,9308,1.76,1
大分,吉田 忠智,よしだ ただとも,吉田,忠智,よしだ,ただとも,69,立憲,NA,前,2,5,1,207250,39.13,1
宮崎,北川 哲平,きたがわ てっぺい,北川,哲平,きたがわ,てっぺい,44,諸派,NA,新,0,4,0,8330,1.7,1
宮崎,滋井 邦晃,しげい くにあき,滋井,邦晃,しげい,くにあき,43,参政,NA,新,0,4,0,97756,19.99,1
宮崎,山内 佳菜子,やまうち かなこ,山内,佳菜子,やまうち,かなこ,44,立憲,社民,新,0,4,1,193909,39.65,1
宮崎,長峯 誠,ながみね まこと,長峯,誠,ながみね,まこと,55,自民,NA,現,2,4,0,189118,38.67,1
鹿児島,尾辻 朋実,おつじ ともみ,尾辻,朋実,おつじ,ともみ,44,無所,立憲,新,0,4,1,301026,41.85,1
鹿児島,牧野 俊一,まきの しゅんいち,牧野,俊一,まきの,しゅんいち,39,参政,NA,新,0,4,0,170989,23.77,1
鹿児島,園田 修光,そのだ しゅうこう,園田,修光,そのだ,しゅうこう,68,自民,公明,前,1,4,0,234893,32.66,1
鹿児島,山本 貴平,やまもと たかひら,山本,貴平,やまもと,たかひら,50,諸派,NA,新,0,4,0,12309,1.71,1
沖縄,奥間 亮,おくま りょう,奥間,亮,おくま,りょう,38,自民,公明,新,0,5,0,231907,35.65,1
沖縄,真喜志 雄一,まきし ゆういち,真喜志,雄一,まきし,ゆういち,34,諸派,NA,新,0,5,0,11512,1.77,1
沖縄,和田 知久,わだ ともひさ,和田,知久,わだ,ともひさ,65,参政,NA,新,0,5,0,126743,19.48,1
沖縄,高良 沙哉,たから さちか,高良,沙哉,たから,さちか,46,無所,立憲 / 社民,新,0,5,1,265203,40.77,1
沖縄,比嘉 隆,ひが たかし,比嘉,隆,ひが,たかし,47,無所,NA,新,0,5,0,15112,2.32,1
