prefecture,dist_no,district,name,yomi,lastname,firstname,last_kana,first_kana,age,party,recommended,status,previous,duplicate,win_smd,win_pr,votes,vshare
神奈川,3,神奈川3区,釘丸 進,くぎまる すすむ,釘丸,進,くぎまる,すすむ,44,共産,NA,新,0,0,0,0,23476,11.66
神奈川,4,神奈川4区,山本 朋広,やまもと ともひろ,山本,朋広,やまもと,ともひろ,42,自民,公明,前,3,1,0,1,55700,28.89
神奈川,4,神奈川4区,早稲田 夕季,わせだ ゆき,早稲田,夕季,わせだ,ゆき,58,立憲,NA,新,0,1,1,0,67020,34.76
神奈川,4,神奈川4区,浅尾 慶一郎,あさお けいいちろう,浅尾,慶一郎,あさお,けいいちろう,53,無所,NA,前,3,0,0,0,51495,26.7
神奈川,4,神奈川4区,風間 法子,かざま のりこ,風間,法子,かざま,のりこ,47,希望,NA,新,0,1,0,0,18618,9.65
神奈川,5,神奈川5区,坂井 学,さかい まなぶ,坂井,学,さかい,まなぶ,52,自民,公明,前,3,1,1,0,120068,51.61
神奈川,5,神奈川5区,横山 征吾,よこやま せいご,横山,征吾,よこやま,せいご,46,共産,NA,新,0,0,0,0,45497,19.56
神奈川,5,神奈川5区,吉岡 憲史,よしおか けんじ,吉岡,憲史,よしおか,けんじ,39,希望,NA,新,0,1,0,0,67085,28.84
神奈川,6,神奈川6区,串田 誠一,くしだ せいいち,串田,誠一,くしだ,せいいち,59,維新,NA,新,0,1,0,1,24424,12.62
神奈川,6,神奈川6区,青柳 陽一郎,あおやぎ よういちろう,青柳,陽一郎,あおやぎ,よういちろう,48,立憲,NA,前,2,1,1,0,86291,44.59
神奈川,6,神奈川6区,上田 勇,うえだ いさむ,上田,勇,うえだ,いさむ,59,公明,自民,前,7,0,0,0,82788,42.78
神奈川,7,神奈川7区,鈴木 馨祐,すずき けいすけ,鈴木,馨祐,すずき,けいすけ,40,自民,公明,前,3,1,1,0,103324,47
神奈川,7,神奈川7区,川野 案,かわの あん,川野,案,かわの,あん,35,希望,維新,新,0,1,0,0,28685,13.05
