year,ku,kun,party,name,age,status,nocand,wl,rank,previous,vote,voteshare,eligible,turnout,exp
1996,chiba,3,1001,"TAKEUCHI, KEIJI",29,1,5,0,4,0,22068,10.4,392771,55.41,1678848
1996,chiba,3,1003,"HIGASHI, MITSUMOTO",43,1,5,0,5,0,1765,0.8,392771,55.41,.
1996,chiba,4,800,"TANAKA, SHOICHIA",59,1,4,1,1,1,73792,32,427907,55.07,14977664
1996,chiba,4,1000,"NODA, YOSHIHIKO",39,2,4,0,2,1,73687,31.9,427907,55.07,7408046
1996,chiba,4,1001,"KOJIMA, TAKAYUKI",48,1,4,0,3,0,45924,19.9,427907,55.07,15358046
1996,chiba,4,305,"MARUYAMA, SHINICHI",40,1,4,0,4,0,37300,16.2,427907,55.07,5338484
1996,chiba,5,1001,"TANAKA, KOC",39,2,6,1,1,2,67032,32.2,408113,52.09,.
1996,chiba,5,800,"KANO, MASARU",61,2,6,0,2,2,62951,30.3,408113,52.09,.
1996,chiba,5,1000,"NAKATSUGAWA, HIROSATO",47,1,6,0,3,0,43682,21,408113,52.09,11139353
1996,chiba,5,305,"OZAWA, TAKESHI",66,1,6,0,4,0,25586,12.3,408113,52.09,3802430
1996,chiba,5,1004,"TOYODA, KATSUHIKO",63,1,6,0,5,0,7319,3.5,408113,52.09,.
1996,chiba,5,1003,"MOTOHASHI, CHIAKI",39,1,6,0,6,0,1311,0.6,408113,52.09,1791937
1996,chiba,6,800,"WATANABE, HIROMICHI",46,1,4,1,1,1,60801,39.2,334376,50.78,.
1996,chiba,6,1001,"UBUKATA, YUKIO",48,1,4,2,2,1,55272,35.7,334376,50.78,7232832
1996,chiba,6,305,"NAKAJIMA, MAKOTO",47,1,4,0,3,0,31588,20.4,334376,50.78,5076814
1996,chiba,6,1003,"ABE, SUMIKO",55,1,4,0,4,0,7352,4.7,334376,50.78,.
1996,chiba,7,800,"MATSUMOTO, KAZUNA",57,1,5,1,1,1,71306,36.4,357646,56.31,.
1996,chiba,7,1000,"MIYAMOTO, ETSURO",48,1,5,0,2,0,53484,27.3,357646,56.31,10456699
1996,chiba,7,1001,"YUASA, KAZUKO",54,1,5,0,3,0,41980,21.4,357646,56.31,7829140
1996,chiba,7,305,"WAKAOJI, HIROO",68,1,5,0,4,0,26242,13.4,357646,56.31,4810857
1996,chiba,7,1003,"IMAIZUMI, SATORU",42,1,5,0,5,0,2968,1.5,357646,56.31,.
1996,chiba,8,800,"SAKURADA, YOSHITAKA",46,1,5,1,1,1,69539,34,379673,55.58,13244509
1996,chiba,8,1000,"NAGAHAMA, HIROYUKI",38,2,5,0,2,1,62740,30.7,379673,55.58,12181284
1996,chiba,8,1001,"HAYAKAWA, YUKIHIKO",55,1,5,0,3,0,40103,19.6,379673,55.58,5313398
1996,chiba,8,305,"KATO, HIDEOA",43,1,5,0,4,0,29884,14.6,379673,55.58,4881335
1996,chiba,8,1003,"MATSUMOTO, HIDEYUKI",53,1,5,0,5,0,2284,1.1,379673,55.58,1691023
1996,chiba,9,1000,"JITSUKAWA, YUKIO",53,2,4,1,1,2,79539,36.3,397769,56.95,10143046
1996,chiba,9,800,"MIZUNO, KENICHI",30,1,4,0,2,0,75667,34.5,397769,56.95,6409315
1996,chiba,9,1001,"TADA, YASUTAMI",56,1,4,0,3,0,35211,16.1,397769,56.95,6119108
1996,chiba,9,305,"SEKI, KAZUO",64,1,4,0,4,0,28937,13.2,397769,56.95,3432770
1996,chiba,10,800,"HAYASHI, MOTOO",49,2,4,1,1,2,114010,63.9,358755,51.8,17089430
1996,chiba,10,1000,"SUDO, HIROSHI",39,2,4,0,2,1,44408,24.9,358755,51.8,2914491
1996,chiba,10,305,"ICHIKAWA, HIROSHI",47,1,4,0,3,0,17234,9.7,358755,51.8,2800971
1996,chiba,10,1003,"KAWAMURA, YASUYUKI",49,1,4,0,4,0,2854,1.6,358755,51.8,2340395
1996,chiba,11,800,"MORI, EISUKE",48,2,4,1,1,3,116195,61.6,353940,55.83,.
1996,chiba,11,1000,"HATSUTANI, KOICHI",41,1,4,0,2,0,45894,24.3,353940,55.83,.
1996,chiba,11,305,"IIMURA, MARIKO",51,1,4,0,3,0,21954,11.6,353940,55.83,3601657
1996,chiba,11,1003,"HARA, NAOKO",32,1,4,0,4,0,4600,2.4,353940,55.83,.
1996,chiba,12,800,"HAMADA, YASUKAZU",40,2,3,1,1,2,102570,54,379229,54.39,17389486
1996,chiba,12,1001,"MORITA, KEI",33,1,3,0,2,0,61083,32.2,379229,54.39,12094921
1996,chiba,12,305,"KAWAKAMI, KINICHI",66,1,3,0,3,0,26149,13.8,379229,54.39,4260420
1996,ehime,1,800,"SEKIYA, KATSUTSUGU",58,2,4,1,1,8,90305,45.3,356732,56.9,14881825
1996,ehime,1,1000,"NAKAMURA, TOKIHIRO",36,2,4,0,2,1,85794,43.1,356732,56.9,6218824
1996,ehime,1,305,"SASAKI, IZUMI",46,1,4,0,3,0,17437,8.8,356732,56.9,3056573
1996,ehime,1,1004,"NAKAJIMA, KIYONOBU",52,1,4,0,4,0,5652,2.8,356732,56.9,3401567
1996,ehime,2,800,"MURAKAMI, SEIICHIRO",44,2,3,1,1,4,118966,70.3,297715,61.11,9488463
1996,ehime,2,1002,"UMEZAKI, YUKIO",59,1,3,0,2,0,27060,16,297715,61.11,8698225
1996,ehime,2,305,"TANIDA, KEIKO",59,1,3,0,3,0,23143,13.7,297715,61.11,2607604
1996,ehime,3,800,"ONO, SHINYA",41,2,4,1,1,2,80415,52.6,269457,58.25,15925710
1996,ehime,3,1002,"FUJITA, TAKATOSHI",73,3,4,0,2,8,38484,25.2,269457,58.25,11017958
1996,ehime,3,1000,"HINO, KEISUKE",60,1,4,0,3,0,22038,14.4,269457,58.25,8143445
1996,ehime,3,305,"HIRAMOTO, TETSURO",53,1,4,0,4,0,11982,7.8,269457,58.25,2240250
1996,ehime,4,800,"YAMAMOTO, KOICHIB",49,2,3,1,1,2,113587,61,264704,72.11,17964826
1996,ehime,4,1000,"TAKAHASHI, EIGO",56,1,3,0,2,0,61244,32.9,264704,72.11,6811570
1996,ehime,4,305,"IKEMOTO, KENICHI",49,1,3,0,3,0,11314,6.1,264704,72.11,2204650
1996,fukui,1,1000,"SASAKI, RYUZO",39,2,5,1,1,2,48214,34,214374,67.02,21676618
1996,fukui,1,1,"MATSUMIYA, ISAO",52,1,5,0,2,0,40840,28.8,214374,67.02,16678829
1996,fukui,1,800,"HIRAIZUMI, WATARU",66,2,5,0,3,6,32263,22.8,214374,67.02,18758159
1996,fukui,1,1001,"FURUKAWA, TASABURO",63,1,5,0,4,0,12022,8.5,214374,67.02,8114042
1996,fukui,1,305,"KANEMOTO, SACHIE",38,1,5,0,5,0,8369,5.9,214374,67.02,2963990
1996,fukui,2,800,"MAKINO, TAKAMORI",70,3,3,1,1,5,79222,52.4,211335,72.78,14027347
1996,fukui,2,1000,"YAMAMOTO, TAKU",44,2,3,0,2,2,65024,43,211335,72.78,8969965
1996,fukui,2,305,"UNO, KUNIHIRO",44,1,3,0,3,0,7078,4.7,211335,72.78,3094721
1996,fukui,3,1001,"TSUJI, KAZUHIKO",71,2,4,1,1,5,52473,36.8,210464,69.36,6882297
1996,fukui,3,800,"TAKAGI, TSUYOSHI",40,1,4,0,2,0,48762,34.2,210464,69.36,13317457
1996,fukui,3,1000,"MATSUDA, ATSUYUKI",58,1,4,0,3,0,32426,22.7,210464,69.36,12322167
1996,fukui,3,305,"YOSHIDA, KAZUO",71,1,4,0,4,0,8974,6.3,210464,69.36,3389623
1996,fukuoka,1,1001,"MATSUMOTO, RYU",45,2,4,1,1,3,74537,46.7,320338,51.67,21904621
1996,fukuoka,1,800,"NISHIDA, TOJI",45,1,4,0,2,0,56748,35.5,320338,51.67,8064930
1996,fukuoka,1,305,"OGA, SAWAKO",52,1,4,0,3,0,21839,13.7,320338,51.67,3872404
1996,fukuoka,1,1013,"YAMAGUCHI, MINORU",47,1,4,0,4,0,6629,4.1,320338,51.67,1898969
1996,fukuoka,2,800,"YAMASAKI, TAKU",59,2,5,1,1,9,98095,49.2,377309,54.16,18517891
1996,fukuoka,2,1000,"YAMASAKI, HIROTARO",55,2,5,0,2,1,73066,36.7,377309,54.16,14553435
1996,fukuoka,2,305,"NAGAO, MASAAKI",54,1,5,0,3,0,19151,9.6,377309,54.16,1609967
1996,fukuoka,2,1,"CHUGANJI, SUMITAKA",36,1,5,0,4,0,6242,3.1,377309,54.16,4100830
1996,fukuoka,2,1003,"OKACHI, MIDORI",37,1,5,0,5,0,2663,1.3,377309,54.16,3024814
1996,fukuoka,3,800,"OTA, SEIICHI",50,2,4,1,1,6,88953,49,335092,56.16,14712725
1996,fukuoka,3,1000,"NARAZAKI, KINYA",53,1,4,0,2,0,66788,36.8,335092,56.16,4729914
